31-03-2026 19:35:45 | GET | cafeteria-api/categorias
31-03-2026 19:36:18 | GET | cafeteria-api/categorias
31-03-2026 19:36:18 | GET | cafeteria-api/produtos
31-03-2026 19:38:38 | GET | cafeteria-api/produtos
31-03-2026 19:38:38 | GET | cafeteria-api/categorias
31-03-2026 19:38:43 | GET | cafeteria-api/produtos
31-03-2026 19:38:43 | GET | cafeteria-api/categorias
31-03-2026 19:38:47 | GET | cafeteria-api/categorias
31-03-2026 19:38:47 | GET | cafeteria-api/produtos
31-03-2026 19:38:58 | GET | cafeteria-api/categorias
31-03-2026 19:38:58 | GET | cafeteria-api/produtos
31-03-2026 19:39:01 | GET | cafeteria-api/produtos
s
31-03-2026 19:39:18 | GET | cafeteria-api/categorias
31-03-2026 19:39:20 | GET | cafeteria-api/produtos
31-03-2026 19:39:20 | GET | cafeteria-api/categorias
31-03-2026 19:39:23 | GET | cafeteria-api/produtos
s
31-03-2026 19:39:29 | GET | cafeteria-api/produtos
s
31-03-2026 19:39:33 | GET | cafeteria-api/produtos
s
31-03-2026 19:40:11 | GET | cafeteria-api/produtos
s
31-03-2026 19:40:16 | GET | cafeteria-api/produtos
s
31-03-2026 19:40:21 | GET | cafeteria-api/produtos
31-03-2026 19:40:21 | GET | cafeteria-api/categorias
31-03-2026 19:40:24 | GET | cafeteria-api/categorias
31-03-2026 19:40:30 | GET | cafeteria-api/produtos
s
31-03-2026 19:42:38 | GET | cafeteria-api/categorias
31-03-2026 19:42:38 | GET | cafeteria-api/produtos
31-03-2026 19:42:40 | GET | cafeteria-api/categorias
31-03-2026 19:42:43 | GET | cafeteria-api/produtos
s
31-03-2026 19:42:48 | GET | cafeteria-api/produtos
31-03-2026 19:42:48 | GET | cafeteria-api/categorias
31-03-2026 19:43:00 | GET | cafeteria-api/categorias
31-03-2026 19:43:04 | GET | cafeteria-api/produtos
s
31-03-2026 19:43:08 | GET | cafeteria-api/produtos
s
31-03-2026 19:43:11 | GET | cafeteria-api/produtos
s
31-03-2026 19:43:12 | GET | cafeteria-api/categorias
31-03-2026 19:43:16 | GET | cafeteria-api/categorias
31-03-2026 19:43:16 | GET | cafeteria-api/produtos
31-03-2026 19:43:18 | GET | cafeteria-api/produtos
31-03-2026 19:43:18 | GET | cafeteria-api/categorias
31-03-2026 19:43:39 | GET | cafeteria-api/produtos
s
31-03-2026 19:44:53 | GET | cafeteria-api/categorias
31-03-2026 19:44:55 | GET | cafeteria-api/categorias
31-03-2026 19:47:53 | GET | cafeteria-api/categorias
31-03-2026 19:48:00 | GET | cafeteria-api/categorias
31-03-2026 19:48:00 | GET | cafeteria-api/produtos
31-03-2026 19:50:24 | GET | cafeteria-api/categorias
31-03-2026 19:50:24 | GET | cafeteria-api/produtos
31-03-2026 19:50:26 | GET | cafeteria-api/categorias
31-03-2026 19:50:26 | GET | cafeteria-api/produtos
31-03-2026 19:50:32 | GET | cafeteria-api/produtos
31-03-2026 19:50:32 | GET | cafeteria-api/categorias
31-03-2026 19:50:39 | GET | cafeteria-api/categorias
31-03-2026 19:50:39 | GET | cafeteria-api/produtos
31-03-2026 19:50:53 | GET | cafeteria-api/categorias
31-03-2026 19:50:58 | GET | cafeteria-api/produtos
s
31-03-2026 19:51:06 | GET | cafeteria-api/categorias
31-03-2026 19:51:17 | GET | cafeteria-api/produtos
31-03-2026 19:51:17 | GET | cafeteria-api/categorias
31-03-2026 19:51:22 | GET | cafeteria-api/categorias
31-03-2026 19:51:22 | GET | cafeteria-api/produtos
31-03-2026 19:52:30 | POST | cafeteria-api/produtos
31-03-2026 19:53:11 | GET | cafeteria-api/produtos
31-03-2026 19:53:11 | GET | cafeteria-api/categorias
31-03-2026 19:53:23 | POST | cafeteria-api/produtos
31-03-2026 20:00:43 | POST | cafeteria-api/produtos
31-03-2026 20:01:21 | GET | cafeteria-api/produtos
31-03-2026 20:01:21 | GET | cafeteria-api/categorias
31-03-2026 20:01:31 | POST | cafeteria-api/produtos
31-03-2026 20:01:31 | GET | cafeteria-api/produtos
31-03-2026 20:01:57 | GET | cafeteria-api/categorias
31-03-2026 20:02:10 | GET | cafeteria-api/categorias
31-03-2026 20:02:10 | GET | cafeteria-api/produtos
31-03-2026 20:02:22 | GET | cafeteria-api/categorias
31-03-2026 20:02:28 | GET | cafeteria-api/produtos
s
31-03-2026 20:02:30 | GET | cafeteria-api/produtos
s
31-03-2026 20:02:31 | OPTIONS | cafeteria-api/produtos/2
31-03-2026 20:02:31 | DELETE | cafeteria-api/produtos/2
31-03-2026 20:02:31 | GET | cafeteria-api/produtos
31-03-2026 20:02:38 | OPTIONS | cafeteria-api/produtos/3
31-03-2026 20:02:38 | DELETE | cafeteria-api/produtos/3
31-03-2026 20:02:38 | GET | cafeteria-api/produtos
31-03-2026 20:03:01 | OPTIONS | cafeteria-api/produtos/3
31-03-2026 20:03:01 | DELETE | cafeteria-api/produtos/3
31-03-2026 20:03:01 | GET | cafeteria-api/produtos
31-03-2026 20:03:05 | GET | cafeteria-api/categorias
31-03-2026 20:03:05 | GET | cafeteria-api/produtos
31-03-2026 20:05:43 | GET | cafeteria-api/categorias
31-03-2026 20:05:45 | OPTIONS | cafeteria-api/produtos/2
31-03-2026 20:05:45 | DELETE | cafeteria-api/produtos/2
31-03-2026 20:05:45 | GET | cafeteria-api/produtos
31-03-2026 20:05:47 | OPTIONS | cafeteria-api/produtos/3
31-03-2026 20:05:47 | DELETE | cafeteria-api/produtos/3
31-03-2026 20:05:47 | GET | cafeteria-api/produtos
31-03-2026 20:06:04 | POST | cafeteria-api/produtos
31-03-2026 20:06:04 | GET | cafeteria-api/produtos
31-03-2026 20:06:10 | OPTIONS | cafeteria-api/produtos/5
31-03-2026 20:06:10 | DELETE | cafeteria-api/produtos/5
31-03-2026 20:06:10 | GET | cafeteria-api/produtos
31-03-2026 20:06:14 | GET | cafeteria-api/categorias
31-03-2026 20:06:20 | POST | cafeteria-api/categorias
31-03-2026 20:06:21 | GET | cafeteria-api/categorias
31-03-2026 20:06:24 | OPTIONS | cafeteria-api/categorias/1
31-03-2026 20:06:24 | DELETE | cafeteria-api/categorias/1
31-03-2026 20:07:24 | GET | cafeteria-api/categorias
31-03-2026 20:07:27 | OPTIONS | cafeteria-api/categorias/5
31-03-2026 20:07:27 | DELETE | cafeteria-api/categorias/5
31-03-2026 20:07:27 | GET | cafeteria-api/categorias
31-03-2026 20:10:46 | OPTIONS | cafeteria-api/categorias/6
31-03-2026 20:10:46 | DELETE | cafeteria-api/categorias/6
31-03-2026 20:10:46 | GET | cafeteria-api/categorias
31-03-2026 20:10:51 | POST | cafeteria-api/categorias
31-03-2026 20:10:51 | GET | cafeteria-api/categorias
31-03-2026 20:10:53 | GET | cafeteria-api/categorias
31-03-2026 20:10:53 | GET | cafeteria-api/produtos
31-03-2026 20:11:34 | POST | cafeteria-api/produtos
31-03-2026 20:11:34 | GET | cafeteria-api/produtos
31-03-2026 20:11:36 | OPTIONS | cafeteria-api/produtos/4
31-03-2026 20:11:36 | DELETE | cafeteria-api/produtos/4
31-03-2026 20:11:36 | GET | cafeteria-api/produtos
31-03-2026 20:15:03 | GET | cafeteria-api/categorias
31-03-2026 20:15:23 | GET | cafeteria-api/produtos
31-03-2026 20:15:53 | GET | cafeteria-api/produtos
31-03-2026 20:16:24 | GET | cafeteria-api/produtos
31-03-2026 20:16:24 | GET | cafeteria-api/produtos
31-03-2026 20:17:04 | GET | cafeteria-api/produtos
31-03-2026 20:17:24 | GET | cafeteria-api/produtos
31-03-2026 20:17:25 | GET | cafeteria-api/produtos
31-03-2026 20:17:25 | GET | cafeteria-api/produtos
31-03-2026 20:18:41 | GET | cafeteria-api/produtos
31-03-2026 20:19:09 | GET | cafeteria-api/categorias
